hcpcs_code,payment_rate,description
80159,20.15,Drug assay clozapine
80161,18.64,"Asy carbamazepin 10,11-epxid"
80162,13.28,Assay of digoxin total
80163,13.28,Assay of digoxin free
80164,13.54,Assay dipropylacetic acd tot
80165,13.54,Dipropylacetic acid free
80167,18.64,Drug assay felbamate
80168,16.34,Assay of ethosuximide
80169,13.73,Drug assay everolimus
80170,16.38,Assay of gentamicin
80171,21.67,Drug screen quant gabapentin
80173,15.78,Assay of haloperidol
80175,13.25,Drug screen quan lamotrigine
80176,14.69,Assay of lidocaine
80177,13.25,Drug scrn quan levetiracetam
80178,6.61,Assay of lithium
80179,18.64,Drug assay salicylate
80180,18.05,Drug scrn quan mycophenolate
80181,18.64,Drug assay flecainide
80183,13.25,Drug scrn quant oxcarbazepin
80184,15.3,Assay of phenobarbital
80185,13.25,Assay of phenytoin total
80186,13.76,Assay of phenytoin free
80187,27.11,Drug assay posaconazole
80188,16.59,Assay of primidone
80189,27.11,Drug assay itraconazole
80190,60.0,Assay of procainamide
80192,16.75,Assay of procainamide
80193,38.57,Drug assay leflunomide
80194,14.6,Assay of quinidine
80195,13.73,Assay of sirolimus
80197,13.73,Assay of tacrolimus
80198,14.14,Assay of theophylline
80199,27.11,Drug screen quant tiagabine
80200,16.13,Assay of tobramycin
80201,11.92,Assay of topiramate
80202,13.54,Assay of vancomycin
80203,13.25,Drug screen quant zonisamide
80204,38.57,Drug assay methotrexate
80210,27.11,Drug assay rufinamide
80220,18.64,Drug asy hydroxychloroquine
80230,38.57,Drug assay infliximab
80235,27.11,Drug assay lacosamide
80280,38.57,Drug assay vedolizumab
80285,27.11,Drug assay voriconazole
80299,18.64,Quantitative assay drug
80305,12.6,Drug test prsmv dir opt obs
80306,17.14,Drug test prsmv instrmnt
80307,62.14,Drug test prsmv chem anlyzr
80400,32.62,Acth stimulation panel
80402,86.96,Acth stimulation panel
80406,78.26,Acth stimulation panel
80408,125.5,Aldosterone suppression eval
80410,80.37,Calcitonin stimul panel
80412,801.62,Crh stimulation panel
80414,51.64,Testosterone response panel
80415,55.89,Tot estradiol response panel
80416,209.32,Renin stimulation panel
80417,43.99,Renin stimulation panel
80418,579.48,Pituitary evaluation panel
80420,161.88,Dexamethasone panel
80422,46.07,Glucagon tolerance panel
80424,50.5,Glucagon tolerance panel
80426,148.41,Gonadotropin hormone panel
80428,66.7,Growth hormone panel
80430,129.33,Growth hormone panel
80432,165.61,Insulin suppression panel
80434,285.03,Insulin tolerance panel
80435,103.0,Insulin tolerance panel
80436,91.16,Metyrapone panel
80438,50.41,Trh stimulation panel
80439,67.21,Trh stimulation panel
81000,4.02,Urinalysis nonauto w/scope
81001,3.17,Urinalysis auto w/scope
81002,3.48,Urinalysis nonauto w/o scope
81003,2.25,Urinalysis auto w/o scope
81005,2.17,Urinalysis
81007,29.98,Urine screen for bacteria
81015,3.05,Microscopic exam of urine
81020,4.7,Urinalysis glass test
81025,8.61,Urine pregnancy test
81050,3.64,Urinalysis volume measure
81105,122.22,Hpa-1 genotyping
81106,122.22,Hpa-2 genotyping
81107,122.22,Hpa-3 genotyping
81108,122.22,Hpa-4 genotyping
81109,122.22,Hpa-5 genotyping
81110,122.22,Hpa-6 genotyping
81111,122.22,Hpa-9 genotyping
81112,122.22,Hpa-15 genotyping
81120,193.25,Idh1 common variants
81121,295.79,Idh2 common variants
81161,279.0,Dmd dup/delet analysis
81162,1824.88,Brca1&2 gen full seq dup/del
81163,468.0,Brca1&2 gene full seq alys
81164,584.23,Brca1&2 gen ful dup/del alys
81165,282.88,Brca1 gene full seq alys
81166,301.35,Brca1 gene full dup/del alys
81167,282.88,Brca2 gene full dup/del alys
81168,207.31,Ccnd1/igh translocation alys
81170,300.0,Abl1 gene
81171,137.0,Aff2 gen aly detc abnl allel
81172,274.83,Aff2 gen alys charac alleles
81173,301.35,Ar gene full gene sequence
81174,185.2,Ar gene known famil variant
81175,676.5,Asxl1 full gene sequence
81176,241.9,Asxl1 gene target seq alys
81177,137.0,Atn1 gene detc abnor alleles
81178,137.0,Atxn1 gene detc abnor allele
81179,137.0,Atxn2 gene detc abnor allele
81180,137.0,Atxn3 gene detc abnor allele
81181,137.0,Atxn7 gene detc abnor allele
81182,137.0,Atxn8os gen detc abnor allel
81183,137.0,Atxn10 gene detc abnor allel
81184,137.0,Cacna1a gen detc abnor allel
81185,846.27,Cacna1a gene full gene seq
81186,185.2,Cacna1a gen known famil vrnt
81187,137.0,Cnbp gene detc abnor allele
81188,137.0,Cstb gene detc abnor allele
81189,274.83,Cstb gene full gene sequence
81190,185.2,Cstb gene known famil vrnt
81191,207.31,Ntrk1 translocation analysis
81192,207.31,Ntrk2 translocation analysis
81193,207.31,Ntrk3 translocation analysis
81194,518.28,Ntrk translocation analysis
81195,1863.22,Cytog genom-wid alys hem mal
81200,47.25,Aspa gene
81201,780.0,Apc gene full sequence
81202,280.0,Apc gene known fam variants
81203,200.0,Apc gene dup/delet variants
81204,137.0,Ar gene charac alleles
81205,94.99,Bckdhb gene
81206,163.96,Bcr/abl1 gene major bp
81207,144.84,Bcr/abl1 gene minor bp
81208,214.62,Bcr/abl1 gene other bp
81209,39.31,Blm gene
81210,175.4,Braf gene
81212,440.0,Brca1&2 185&5385&6174 vrnt
81215,375.25,Brca1 gene known famil vrnt
81216,185.12,Brca2 gene full seq alys
81217,375.25,Brca2 gene known famil vrnt
81218,241.9,Cebpa gene full sequence
81219,121.63,Calr gene com variants
81220,556.6,Cftr gene com variants
81221,97.22,Cftr gene known fam variants
81222,435.07,Cftr gene dup/delet variants
81223,499.0,Cftr gene full sequence
81224,168.75,Cftr gene intron poly t
81225,291.36,Cyp2c19 gene com variants
81226,450.91,Cyp2d6 gene com variants
81227,174.81,Cyp2c9 gene com variants
81228,900.0,Cytog alys chrml abnr cgh
81229,1160.0,Cytog alys chrml abnr snpcgh
81230,174.81,Cyp3a4 gene common variants
81231,174.81,Cyp3a5 gene common variants
81232,174.81,Dpyd gene common variants
81233,175.4,Btk gene common variants
81234,137.0,Dmpk gene detc abnor allele
81235,324.58,Egfr gene com variants
81236,282.88,Ezh2 gene full gene sequence
81237,175.4,Ezh2 gene common variants
81238,600.0,F9 full gene sequence
81239,274.83,Dmpk gene charac alleles
81240,65.69,F2 gene
81241,73.37,F5 gene
81242,36.62,Fancc gene
81243,57.04,Fmr1 gen aly detc abnl allel
81244,44.89,Fmr1 gen alys charac alleles
81245,165.51,Flt3 gene
81246,83.0,Flt3 gene analysis
81247,174.81,G6pd gene alys cmn variant
81248,375.25,G6pd known familial variant
81249,600.0,G6pd full gene sequence
81250,58.49,G6pc gene
81251,47.25,Gba gene
81252,101.12,Gjb2 gene full sequence
81253,61.52,Gjb2 gene known fam variants
81254,35.0,Gjb6 gene com variants
81255,51.45,Hexa gene
81256,65.36,Hfe gene
81257,102.26,Hba1/hba2 gene
81258,375.25,Hba1/hba2 gene fam vrnt
81259,600.0,Hba1/hba2 full gene sequence
81260,39.31,Ikbkap gene
81261,197.99,Igh gene rearrange amp meth
81262,68.55,Igh gene rearrang dir probe
81263,294.52,Igh vari regional mutation
81264,172.73,Igk rearrangeabn clonal pop
81265,233.07,Str markers specimen anal
81266,304.81,Str markers spec anal addl
81267,207.46,Chimerism anal no cell selec
81268,260.79,Chimerism anal w/cell select
81269,202.4,Hba1/hba2 gene dup/del vrnts
81270,91.66,Jak2 gene
81271,137.0,Htt gene detc abnor alleles
81272,329.51,Kit gene targeted seq analys
81273,124.87,Kit gene analys d816 variant
81274,274.83,Htt gene charac alleles
81275,193.25,Kras gene variants exon 2
81276,193.25,Kras gene addl variants
81277,1160.0,Cytogenomic neo microra alys
81278,207.31,Igh@/bcl2 translocation alys
81279,185.2,Jak2 gene trgt sequence alys
81283,73.37,Ifnl3 gene
81284,137.0,Fxn gene detc abnor alleles
81285,274.83,Fxn gene charac alleles
81286,274.83,Fxn gene full gene sequence
81287,124.64,Mgmt gene prmtr mthyltn alys
81288,192.32,Mlh1 gene
81289,185.2,Fxn gene known famil variant
81290,39.31,Mcoln1 gene
81291,65.34,Mthfr gene
81292,675.4,Mlh1 gene full seq
81293,331.0,Mlh1 gene known variants
81294,202.4,Mlh1 gene dup/delete variant
81295,381.7,Msh2 gene full seq
81296,337.73,Msh2 gene known variants
81297,213.3,Msh2 gene dup/delete variant
81298,641.85,Msh6 gene full seq
81299,308.0,Msh6 gene known variants
81300,238.0,Msh6 gene dup/delete variant
81301,348.56,Microsatellite instability
81302,527.87,Mecp2 gene full seq
81303,120.0,Mecp2 gene known variant
81304,150.0,Mecp2 gene dup/delet variant
81305,175.4,Myd88 gene p.leu265pro vrnt
81306,291.36,Nudt15 gene common variants
81307,676.5,Palb2 gene full gene seq
81308,301.35,Palb2 gene known famil vrnt
81309,274.83,Pik3ca gene trgt seq alys
81310,246.52,Npm1 gene
81311,295.79,Nras gene variants exon 2&3
81312,137.0,Pabpn1 gene detc abnor allel
81313,255.05,Pca3/klk3 antigen
81314,329.51,Pdgfra gene
81315,207.31,Pml/raralpha com breakpoints
81316,207.31,Pml/raralpha 1 breakpoint
81317,676.5,Pms2 gene full seq analysis
81318,331.0,Pms2 known familial variants
81319,203.5,Pms2 gene dup/delet variants
81320,291.36,Plcg2 gene common variants
81321,600.0,Pten gene full sequence
81322,46.6,Pten gene known fam variant
81323,300.0,Pten gene dup/delet variant
81324,758.36,Pmp22 gene dup/delet
81325,769.58,Pmp22 gene full sequence
81326,46.6,Pmp22 gene known fam variant
81327,192.0,Sept9 gen prmtr mthyltn alys
81328,174.81,Slco1b1 gene com variants
81329,137.0,Smn1 gene dos/deletion alys
81330,47.0,Smpd1 gene common variants
81331,51.07,Snrpn/ube3a gene
81332,43.65,Serpina1 gene
81333,137.0,Tgfbi gene common variants
81334,329.51,Runx1 gene targeted seq alys
81335,174.81,Tpmt gene com variants
81336,301.35,Smn1 gene full gene sequence
81337,185.2,Smn1 gen nown famil seq vrnt
81338,150.33,Mpl gene common variants
81339,185.2,Mpl gene seq alys exon 10
81340,208.92,Trb@ gene rearrange amplify
81341,49.59,Trb@ gene rearrange dirprobe
81342,201.5,Trg gene rearrangement anal
81343,137.0,Ppp2r2b gen detc abnor allel
81344,137.0,Tbp gene detc abnor alleles
81345,185.2,Tert gene targeted seq alys
81346,174.81,Tyms gene com variants
81347,193.25,Sf3b1 gene common variants
81348,175.4,Srsf2 gene common variants
81349,1197.94,Cytog alys chrml abnr lw-ps
81350,234.0,Ugt1a1 gene common variants
81351,641.85,Tp53 gene full gene sequence
81352,329.51,Tp53 gene trgt sequence alys
81353,308.0,Tp53 gene known famil vrnt
81354,1263.53,Cytog alys chrml abnor ogm
81355,88.2,Vkorc1 gene
81357,193.25,U2af1 gene common variants
81360,193.25,Zrsr2 gene common variants
81361,174.81,Hbb gene com variants
81362,375.25,Hbb gene known fam variant
81363,202.4,Hbb gene dup/del variants
81364,324.58,Hbb full gene sequence
81370,402.12,Hla i & ii typing lr
81371,404.52,Hla i & ii type verify lr
81372,403.59,Hla i typing complete lr
81373,127.43,Hla i typing 1 locus lr
81374,74.33,Hla i typing 1 antigen lr
81375,220.74,Hla ii typing ag equiv lr
81376,122.22,Hla ii typing 1 locus lr
81377,94.74,Hla ii type 1 ag equiv lr
81378,345.57,Hla i & ii typing hr
81379,335.38,Hla i typing complete hr
81380,177.25,Hla i typing 1 locus hr
81381,169.9,Hla i typing 1 allele hr
81382,123.68,Hla ii typing 1 loc hr
81383,109.13,Hla ii typing 1 allele hr
81400,63.96,Mopath procedure level 1
81401,137.0,Mopath procedure level 2
81402,150.33,Mopath procedure level 3
81403,185.2,Mopath procedure level 4
81404,274.83,Mopath procedure level 5
81405,301.35,Mopath procedure level 6
81406,282.88,Mopath procedure level 7
81407,846.27,Mopath procedure level 8
81408,2000.0,Mopath procedure level 9
81410,504.0,Aortic dysfunction/dilation
81411,1350.19,Aortic dysfunction/dilation
81412,2448.56,Ashkenazi jewish assoc dis
81413,584.9,Car ion chnnlpath inc 10 gns
81414,584.9,Car ion chnnlpath inc 2 gns
81415,4780.0,Exome sequence analysis
81416,12000.0,Exome sequence analysis
81417,320.0,Exome re-evaluation
81418,917.08,Rx metab gen seq alys pnl 6
81419,2448.56,Epilepsy gen seq alys panel
81420,759.05,Fetal chrmoml aneuploidy
81422,759.05,Fetal chrmoml microdeltj
81425,5031.2,Genome sequence analysis
81426,2709.95,Genome sequence analysis
81427,2337.65,Genome re-evaluation
81430,1625.0,Hearing loss sequence analys
81431,679.57,Hearing loss dup/del analys
81432,1303.95,Hrdtry brst ca-rlatd do 5+
81434,597.91,Hered rta do gen seq 15
81435,1303.95,Hered colon ca-rlatd do 5+
81437,1303.95,Hered neuroend tum-rlt do 5+
81439,584.9,Hrdtry cardmypy gene panel
81440,3324.0,Mitochondrial gene
81441,2448.56,Ibmfs seq alys pnl 30 genes
81442,2143.6,Noonan spectrum disorders
81443,2448.56,Genetic tstg severe inh cond
81445,597.91,So neo gsap 5-50dna/dna&rna
81448,584.9,Hrdtry perph neurphy panel
81449,597.91,So neo gsap 5-50 rna alys
81450,759.53,Hl neo gsap 5-50dna/dna&rna
81451,759.53,Hl neo gsap 5-50 rna alys
81455,2919.6,So/hl 51/>gsap dna/dna&rna
81456,2919.6,So/hl 51/>gsap rna alys
81457,896.87,So neo gsap dna mcrstl ins
81458,1046.35,So gsap dna cpy nmbr&mcrstl
81459,2989.55,So neo gsap dna/dna&rna
81460,1287.0,Whole mitochondrial genome
81462,1195.83,So gsap cll fr dna/dna&rna
81463,1345.31,So gsap cl fr cpy nmbr&mcrst
81464,3288.51,So gsap cll fr mcrstl ins
81465,936.0,Whole mitochondrial genome
81470,914.0,X-linked intellectual dblt
81471,914.0,X-linked intellectual dblt
81490,840.65,Autoimmune ra alys 12 bmrk
81493,1050.0,Cor artery disease mrna
81500,260.5,Onco (ovar) two proteins
81503,897.0,Onco (ovar) five proteins
81504,520.0,Oncology tissue of origin
81506,68.92,Endo assay seven anal
81507,795.0,Fetal aneuploidy trisom risk
81508,54.3,Ftl cgen abnor two proteins
81509,1487.37,Ftl cgen abnor 3 proteins
81510,55.54,Ftl cgen abnor three anal
81511,153.5,Ftl cgen abnor four anal
81512,69.52,Ftl cgen abnor five anal
81513,142.63,Nfct ds bv rna vag flu alg
81514,262.99,Nfct ds bv&vaginitis dna alg
81515,262.99,Nfct ds bv&vaginitis dna alg
81517,176.19,Liver ds alys 3 bmrk srm alg
81518,3873.0,Onc brst mrna 11 genes
81519,3873.0,Oncology breast mrna
81520,2510.21,Onc breast mrna 58 genes
81521,3873.0,Onc breast mrna 70 genes
81522,3873.0,Onc breast mrna 12 genes
81523,3873.0,Onc brst mrna 70 cnt 31 gene
81525,3116.0,Oncology colon mrna
81528,508.87,Oncology colorectal scr
81529,7193.0,Onc cutan mlnma mrna 31 gene
81535,579.46,Oncology gynecologic
81536,177.56,Oncology gynecologic
81538,2871.0,Oncology lung
81539,760.0,Oncology prostate prob score
81540,3750.0,Oncology tum unknown origin
81541,3873.0,Onc prostate mrna 46 genes
81542,3873.0,Onc prostate mrna 22 cnt gen
81546,3600.0,"Onc thyr mrna 10,196 gen alg"
81551,2030.0,Onc prostate 3 genes
81552,7776.0,Onc uveal mlnma mrna 15 gene
81554,5409.6,Pulm ds ipf mrna 190 gen alg
81558,3240.0,Trnspl rej kdn mrna qpcr 139
81560,640.73,Trnsplj pd lvr&bwl cd154+cll
81595,3240.0,Cardiology hrt trnspl mrna
81596,72.19,Nfct ds chrnc hcv 6 assays
82009,4.52,Ketone bodys qual
82010,8.17,Ketone bodys quan
82013,12.29,Acetylcholinesterase assay
82016,16.49,Acylcarnitines qual
82017,16.87,Acylcarnitines quant
82024,38.62,Assay of acth
82030,25.8,Assay of adp & amp
82040,4.95,Assay of serum albumin
82042,7.78,Other source albumin quan ea
82043,5.78,Ur albumin quantitative
82044,6.23,Ur albumin semiquantitative
82045,33.94,Albumin ischemia modified
82075,30.0,Assay of breath ethanol
82077,17.27,Assay spec xcp ur&breath ia
82085,9.71,Assay of aldolase
82088,40.75,Assay of aldosterone
82103,13.44,Alpha-1-antitrypsin total
82104,14.46,Alpha-1-antitrypsin pheno
82105,16.77,Alpha-fetoprotein serum
82106,17.0,Alpha-fetoprotein amniotic
82107,64.41,Alpha-fetoprotein l3
82108,25.48,Assay of aluminum
82120,5.99,Amines vaginal fluid qual
82127,14.18,Amino acid single qual
82128,13.87,Amino acids mult qual
82131,22.98,Amino acids single quant
82135,16.45,Assay aminolevulinic acid
82136,19.61,Amino acids quant 2-5
82139,16.87,Amino acids quan 6 or more
82140,14.57,Assay of ammonia
82143,9.35,Amniotic fluid scan
82150,6.48,Assay of amylase
82154,28.83,Androstanediol glucuronide
82157,29.28,Assay of androstenedione
82160,25.55,Assay of androsterone
82163,20.52,Assay of angiotensin ii
82164,14.6,Angiotensin i enzyme test
82166,38.62,Assay anti-mullerian horm
82172,21.09,Assay of apolipoprotein
82175,18.97,Assay of arsenic
82180,9.89,Assay of ascorbic acid
82190,15.9,Atomic absorption
82232,16.18,Assay of beta-2 protein
82233,128.92,Beta-amyloid 1-40 (abeta 40)
82234,128.92,Beta-amyloid 1-42 (abeta 42)
82239,17.12,Bile acids total
82240,26.58,Bile acids cholylglycine
82247,5.02,Bilirubin total
82248,5.02,Bilirubin direct
82252,4.56,Fecal bilirubin test
82261,16.87,Assay of biotinidase
82270,4.38,Occult blood feces
82271,5.32,Occult blood other sources
82272,4.23,Occult bld feces 1-3 tests
82274,15.92,Assay test for blood fecal
82286,5.16,Assay of bradykinin
82300,23.64,Assay of cadmium
82306,29.6,Vitamin d 25 hydroxy
82308,26.79,Assay of calcitonin
82310,5.16,Assay of calcium
82330,13.68,Assay of calcium
82331,13.34,Calcium infusion test
82340,6.03,Assay of calcium in urine
82355,11.58,Calculus analysis qual
82360,12.87,Calculus assay quant
82365,12.9,Calculus spectroscopy
82370,12.52,X-ray assay calculus
82373,18.06,Assay c-d transfer measure
82374,4.88,Assay blood carbon dioxide
82375,12.32,Assay carboxyhb quant
82376,14.07,Assay carboxyhb qual
82378,18.96,Carcinoembryonic antigen
82379,16.87,Assay of carnitine
82380,9.22,Assay of carotene
82382,27.3,Assay urine catecholamines
82383,29.08,Assay blood catecholamines
82384,25.25,Assay three catecholamines
82387,18.06,Assay of cathepsin-d
82390,10.74,Assay of ceruloplasmin
82397,14.12,Chemiluminescent assay
82415,12.67,Assay of chloramphenicol
82435,4.6,Assay of blood chloride
82436,5.75,Assay of urine chloride
82438,5.0,Assay other fluid chlorides
82441,6.01,Test for chlorohydrocarbons
82465,4.35,Assay bld/serum cholesterol
82480,7.87,Assay serum cholinesterase
82482,9.81,Assay rbc cholinesterase
82485,20.65,Assay chondroitin sulfate
82495,20.28,Assay of chromium
82507,27.8,Assay of citrate
82523,18.68,Collagen crosslinks
82525,12.41,Assay of copper
82528,22.52,Assay of corticosterone
82530,16.71,Cortisol free
82533,16.3,Total cortisol
82540,4.64,Assay of creatine
82542,24.09,Col chromotography qual/quan
82550,6.51,Assay of ck (cpk)
82552,13.39,Assay of cpk in blood
82553,11.55,Creatine mb fraction
82554,11.87,Creatine isoforms
82565,5.12,Assay of creatinine
82570,5.18,Assay of urine creatinine
82575,9.46,Creatinine clearance test
82585,14.14,Assay of cryofibrinogen
82595,6.47,Assay of cryoglobulin
82600,19.4,Assay of cyanide
82607,15.08,Vitamin b-12
82608,14.32,B-12 binding capacity
82610,18.52,Cystatin c
82615,9.55,Test for urine cystines
82626,25.27,Dehydroepiandrosterone
82627,22.23,Dehydroepiandrosterone
82633,30.98,Desoxycorticosterone
82634,29.28,Deoxycortisol
82638,12.25,Assay of dibucaine number
82642,29.28,Dihydrotestosterone
82652,38.5,Vit d 1 25-dihydroxy
82653,22.97,El-1 fecal quantitative
82656,11.53,El-1 fecal qual/semiq
82657,22.17,Enzyme cell activity
82658,44.03,Enzyme cell activity ra
82664,61.5,Electrophoretic test
82668,18.79,Assay of erythropoietin
82670,27.94,Assay of total estradiol
82671,32.3,Assay of estrogens
82672,21.7,Assay of estrogen
82677,24.18,Assay of estriol
82679,24.95,Assay of estrone
82681,27.94,Assay dir meas fr estradiol
82693,14.9,Assay of ethylene glycol
82696,26.24,Assay of etiocholanolone
82705,5.1,Fats/lipids feces qual
82710,16.8,Fats/lipids feces quant
82715,22.97,Assay of fecal fat
82725,18.77,Assay of blood fatty acids
82726,19.75,Long chain fatty acids
82728,13.63,Assay of ferritin
82731,64.41,Assay of fetal fibronectin
82735,18.54,Assay of fluoride
82746,14.7,Assay of folic acid serum
82747,17.65,Assay of folic acid rbc
82757,17.34,Assay of semen fructose
82759,21.48,Assay of rbc galactokinase
82760,11.2,Assay of galactose
82775,21.07,Assay galactose transferase
82776,11.74,Galactose transferase test
82777,44.25,Galectin-3
82784,9.3,Assay iga/igd/igg/igm each
82785,16.46,Assay of ige
82787,8.02,Igg 1 2 3 or 4 each
82800,11.0,Blood ph
82803,26.07,Blood gases any combination
82805,78.77,Blood gases w/o2 saturation
82810,9.77,Blood gases o2 sat only
82820,13.34,Hemoglobin-oxygen affinity
82930,6.71,Gastric analy w/ph ea spec
82938,17.69,Gastrin test
82941,17.63,Assay of gastrin
82943,14.29,Assay of glucagon
82945,3.93,Glucose other fluid
82946,17.77,Glucagon tolerance test
82947,3.93,Assay glucose blood quant
82948,5.04,Reagent strip/blood glucose
82950,4.75,Glucose test
82951,12.87,Glucose tolerance test (gtt)
82952,3.92,Gtt-added samples
82955,9.7,Assay of g6pd enzyme
82960,6.05,Test for g6pd enzyme
82962,3.28,Glucose blood test
82963,21.48,Assay of glucosidase
82965,13.15,Assay of gdh enzyme
82977,7.2,Assay of ggt
82978,15.45,Assay of glutathione
82979,9.44,Assay rbc glutathione
82985,16.76,Assay of glycated protein
83001,18.58,Assay of gonadotropin (fsh)
83002,18.52,Assay of gonadotropin (lh)
83003,16.67,Assay growth hormone (hgh)
83006,75.6,Growth stimulation gene 2
83009,67.36,H pylori (c-13) blood
83010,12.58,Assay of haptoglobin quant
83012,26.89,Assay of haptoglobins
83013,67.36,H pylori (c-13) breath
83014,7.86,H pylori drug admin
83015,20.94,Heavy metal qual any number
83018,21.96,Heavy metal quan each nes
83020,12.87,Hemoglobin electrophoresis
83021,18.06,Hemoglobin chromotography
83026,4.01,Hemoglobin copper sulfate
83030,10.74,Hemoglobin f fetal chemical
83033,8.0,Hemoglobin ftl f assay qual
83036,9.71,Hemoglobin glycosylated a1c
83037,9.71,Hb glycosylated a1c home dev
83045,6.49,Hgb methemoglobin qual
83050,8.2,Hgb methemoglobin quan
83051,7.31,Hemoglobin plasma
83060,8.8,Hgb sulfhemoglobin quan
83065,9.0,Hemoglobin thermolabile
83068,9.47,Hemoglobin unstable screen
83069,3.95,Hemoglobin urine
83070,4.75,Assay of hemosiderin qual
83080,16.87,Assay of b hexosaminidase ea
83088,29.53,Assay of histamine
83090,17.92,Assay of homocysteine
83150,22.41,Assay of homovanillic acid
83491,17.9,Asy hydroxycorticosteroids17
83497,12.9,Assay of 5-hiaa
83498,27.17,Asy hydroxyprogesterone 17-d
83500,22.65,Assay free hydroxyproline
83505,24.3,Assay total hydroxyproline
83516,11.53,Immunoassay nonantibody
83518,9.64,Immunoassay dipstick
83519,18.4,Ria nonantibody
83520,17.27,Immunoassay quant nos nonab
83521,17.27,Ig light chains free each
83525,11.43,Assay of insulin
83527,12.95,Assay of insulin
83528,19.82,Assay of intrinsic factor
83529,17.27,Asay of interleukin-6 (il-6)
83540,6.47,Assay of iron
83550,8.74,Iron binding test
83570,8.85,Assay of idh enzyme
83582,15.47,Assay of ketogenic steroids
83586,12.8,Assay 17- ketosteroids
83593,28.5,Fractionation ketosteroids
83605,11.57,Assay of lactic acid
83615,6.04,Lactate (ld) (ldh) enzyme
83625,12.79,Assay of ldh enzymes
83630,19.7,Lactoferrin fecal (qual)
83631,19.63,Lactoferrin fecal (quant)
83632,20.22,Placental lactogen
83633,11.25,Test urine for lactose
83655,12.11,Assay of lead
83661,21.99,L/s ratio fetal lung
83662,18.91,Foam stability fetal lung
83663,18.91,Fluoro polarize fetal lung
83664,19.32,Lamellar bdy fetal lung
83670,9.81,Assay of lap enzyme
83690,6.89,Assay of lipase
83695,14.32,Assay of lipoprotein(a)
83698,46.31,Assay lipoprotein pla2
83700,11.26,Lipopro bld electrophoretic
83701,33.86,Lipoprotein bld hr fraction
83704,34.19,Lipoprotein bld quan part
83718,8.19,Assay of lipoprotein
83719,12.75,Assay of blood lipoprotein
83721,10.5,Assay of blood lipoprotein
83722,34.19,Lipoprtn dir meas sd ldl chl
83727,17.19,Assay of lrh hormone
83735,6.7,Assay of magnesium
83775,7.37,Assay malate dehydrogenase
83785,26.65,Assay of manganese
83789,24.11,Mass spectrometry qual/quan
83825,16.26,Assay of mercury
83835,16.94,Assay of metanephrines
83857,10.74,Assay of methemalbumin
83861,22.48,Microfluid analy tears
83864,28.5,Mucopolysaccharides
83872,5.86,Assay synovial fluid mucin
83873,17.2,Assay of csf protein
83874,12.92,Assay of myoglobin
83876,50.86,Assay myeloperoxidase
83880,39.26,Assay of natriuretic peptide
83883,13.6,Assay nephelometry not spec
83884,116.23,Assay neurflmnt light chain
83885,24.51,Assay of nickel
83915,11.15,Assay of nucleotidase
83916,27.39,Oligoclonal bands
83918,23.6,Organic acids total quant
83919,16.45,Organic acids qual each
83921,21.21,Organic acid single quant
83930,6.61,Assay of blood osmolality
83935,6.82,Assay of urine osmolality
83937,29.85,Assay of osteocalcin
83945,14.45,Assay of oxalate
83950,64.41,Oncoprotein her-2/neu
83951,64.41,Oncoprotein dcp
83970,41.28,Assay of parathormone
83986,3.58,Assay ph body fluid nos
83987,3.58,Exhaled breath condensate
83993,19.63,Assay for calprotectin fecal
84030,5.5,Assay of blood pku
84035,3.98,Assay of phenylketones
84060,7.64,Assay acid phosphatase
84066,9.66,Assay prostate phosphatase
84075,5.18,Assay alkaline phosphatase
84078,8.26,Assay alkaline phosphatase
84080,14.78,Assay alkaline phosphatases
84081,16.52,Assay phosphatidylglycerol
84085,9.44,Assay of rbc pg6d enzyme
84087,10.73,Assay phosphohexose enzymes
84100,4.74,Assay of phosphorus
84105,5.78,Assay of urine phosphorus
84106,5.82,Test for porphobilinogen
84110,8.44,Assay of porphobilinogen
84112,98.11,Eval amniotic fluid protein
84119,13.36,Test urine for porphyrins
84120,14.71,Assay of urine porphyrins
84126,39.11,Assay of feces porphyrins
84132,4.76,Assay of serum potassium
84133,4.73,Assay of urine potassium
84134,14.59,Assay of prealbumin
84135,21.27,Assay of pregnanediol
84138,21.05,Assay of pregnanetriol
84140,20.67,Assay of pregnenolone
84143,22.81,Assay of 17-hydroxypregneno
84144,20.86,Assay of progesterone
84145,27.22,Procalcitonin (pct)
84146,19.38,Assay of prolactin
84150,41.77,Assay of prostaglandin
84152,18.39,Assay of psa complexed
84153,18.39,Assay of psa total
84154,18.39,Assay of psa free
84155,3.67,Assay of protein serum
84156,3.67,Assay of protein urine
84157,4.0,Assay of protein other
84160,5.61,Assay of protein any source
84163,15.05,Pappa serum
84165,10.74,Protein e-phoresis serum
84166,17.83,Protein e-phoresis/urine/csf
84181,17.03,Western blot test
84182,29.21,Protein western blot test
84202,14.35,Assay rbc protoporphyrin
84203,9.74,Test rbc protoporphyrin
84206,26.69,Assay of proinsulin
84207,28.1,Assay of vitamin b-6
84210,14.48,Assay of pyruvate
84220,9.44,Assay of pyruvate kinase
84228,11.63,Assay of quinine
84233,87.88,Assay of estrogen
84234,64.88,Assay of progesterone
84235,71.23,Assay of endocrine hormone
84238,36.57,Assay nonendocrine receptor
84244,21.99,Assay of renin
84252,20.24,Assay of vitamin b-2
84255,25.53,Assay of selenium
